"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2023","354.00","359.50","359.50","349.00","0.13K","-0.03%"
"01/05/2023","354.10","359.50","361.80","352.10","0.17K","-1.78%"
"01/04/2023","360.50","366.00","370.00","360.50","0.14K","-0.83%"
"01/03/2023","363.50","370.20","370.20","362.00","0.12K","-1.94%"
"01/01/2023","370.70","370.70","370.70","370.70","","-0.80%"
"12/30/2022","373.70","381.60","381.60","370.70","0.15K","-2.63%"
"12/29/2022","383.80","396.00","396.00","380.40","0.11K","-2.49%"
"12/28/2022","393.60","396.80","400.70","391.70","0.26K","-0.71%"
"12/27/2022","396.40","381.60","401.80","377.60","0.38K","3.23%"
"12/25/2022","384.00","384.00","384.00","384.00","","0.00%"
"12/23/2022","384.00","380.20","387.80","379.40","0.27K","0.66%"
"12/22/2022","381.50","372.00","381.90","372.00","0.23K","0.95%"
"12/21/2022","377.90","375.10","378.80","368.40","0.36K","0.75%"
"12/20/2022","375.10","374.90","380.90","362.40","0.60K","-0.32%"
"12/19/2022","376.30","387.20","389.80","370.40","0.55K","-3.12%"
"12/16/2022","388.40","390.00","391.90","379.70","0.35K","-1.67%"
"12/15/2022","395.00","391.20","396.00","387.90","0.28K","-0.50%"
"12/14/2022","397.00","401.70","405.80","391.20","0.32K","-2.22%"
"12/13/2022","406.00","418.80","426.40","404.00","0.30K","-1.17%"
"12/12/2022","410.80","415.00","415.00","407.50","0.09K","-0.41%"
"12/09/2022","412.50","407.90","414.50","403.50","0.21K","0.00%"
"12/08/2022","412.50","434.00","434.60","410.10","0.20K","-3.94%"
"12/07/2022","429.40","414.50","436.40","412.30","0.48K","3.44%"
"12/06/2022","415.10","405.20","415.10","398.60","0.39K","6.14%"
"12/05/2022","391.10","395.50","402.50","382.80","0.27K","-1.24%"
"12/02/2022","396.00","405.70","406.60","389.40","0.38K","-3.65%"
"12/01/2022","411.00","430.00","432.20","405.60","0.51K","-4.29%"
"11/30/2022","429.40","424.00","429.50","417.00","0.33K","1.32%"
"11/29/2022","423.80","423.20","428.70","416.50","0.30K","0.31%"
"11/28/2022","422.50","422.80","431.00","418.90","0.24K","0.05%"
"11/25/2022","422.30","437.10","439.40","422.30","0.16K","-2.25%"
"11/23/2022","432.00","427.10","442.50","422.30","0.17K","0.54%"
"11/22/2022","429.70","440.90","445.00","426.10","0.24K","-1.22%"
"11/21/2022","435.00","425.10","445.00","425.10","0.21K","1.99%"
"11/18/2022","426.50","431.00","438.70","425.10","0.18K","-3.16%"
"11/17/2022","440.40","428.00","445.00","424.00","0.18K","2.42%"
"11/16/2022","430.00","429.30","437.30","421.20","0.20K","-5.45%"
"11/15/2022","454.80","450.00","460.00","450.00","0.04K","1.70%"
"11/14/2022","447.20","441.50","448.00","425.00","0.03K","0.58%"
"11/11/2022","444.60","440.20","452.80","439.80","0.04K","-3.35%"
"11/10/2022","460.00","456.40","460.00","450.40","0.03K","0.00%"
"11/09/2022","460.00","458.00","460.00","453.50","0.03K","1.97%"
"11/08/2022","451.10","459.30","459.30","450.00","0.03K","-0.86%"
"11/07/2022","455.00","438.00","458.80","438.00","0.08K","4.60%"
"11/04/2022","435.00","435.20","435.20","420.20","0.10K","0.00%"
"11/03/2022","435.00","448.50","449.00","426.60","0.14K","-3.33%"
"11/02/2022","450.00","458.80","465.30","450.00","0.15K","-1.66%"
"11/01/2022","457.60","460.10","469.00","457.60","0.16K","-0.87%"
"10/31/2022","461.60","465.50","470.00","459.10","0.19K","-1.16%"
"10/28/2022","467.00","476.50","480.00","465.50","0.29K","-3.71%"
"10/27/2022","485.00","492.90","493.00","477.40","0.13K","-2.39%"
"10/26/2022","496.90","482.90","496.90","470.90","0.35K","1.74%"
"10/25/2022","488.40","500.90","500.90","486.60","0.31K","-3.57%"
"10/24/2022","506.50","528.70","541.50","502.70","0.29K","-6.03%"
"10/21/2022","539.00","543.50","550.00","531.20","0.43K","0.99%"
"10/20/2022","533.70","520.40","538.80","520.40","0.45K","0.49%"
"10/19/2022","531.10","511.90","540.00","508.00","0.48K","2.71%"
"10/18/2022","517.10","513.90","518.70","491.00","0.32K","1.47%"
"10/17/2022","509.60","492.20","520.40","485.50","0.51K","3.16%"
"10/14/2022","494.00","497.80","503.40","487.10","0.42K","-0.86%"
"10/13/2022","498.30","466.50","498.50","463.60","0.27K","1.92%"
"10/12/2022","488.90","479.80","497.00","473.50","0.32K","2.13%"
"10/11/2022","478.70","458.20","485.20","454.40","0.45K","5.74%"
"10/10/2022","452.70","448.60","452.70","432.10","0.16K","1.59%"
"10/07/2022","445.60","444.30","459.00","437.60","0.27K","-2.00%"
"10/06/2022","454.70","441.40","468.60","441.30","0.37K","4.15%"
"10/05/2022","436.60","434.00","437.60","421.20","0.21K","0.60%"
"10/04/2022","434.00","436.00","448.00","426.20","0.30K","1.88%"
"10/03/2022","426.00","437.70","442.30","421.30","0.40K","0.83%"
"09/30/2022","422.50","418.70","429.70","412.50","0.37K","2.82%"
"09/29/2022","410.90","431.90","432.40","402.80","0.59K","-5.06%"
"09/28/2022","432.80","443.70","451.00","420.10","0.28K","0.82%"
"09/27/2022","429.30","426.10","448.50","422.00","0.37K","4.50%"
"09/26/2022","410.80","432.70","443.90","410.70","0.45K","-5.56%"
"09/23/2022","435.00","451.80","455.00","430.10","0.55K","-5.48%"
"09/22/2022","460.20","489.90","489.90","460.00","0.36K","-7.22%"
"09/21/2022","496.00","521.70","522.20","492.10","0.30K","-3.82%"
"09/20/2022","515.70","503.60","527.00","502.00","0.33K","6.95%"
"09/19/2022","482.20","479.10","486.40","461.40","0.17K","0.21%"
"09/16/2022","481.20","488.90","488.90","469.50","0.24K","-0.48%"
"09/15/2022","483.50","499.00","499.00","482.00","0.01K","-5.38%"
"09/14/2022","511.00","549.70","549.70","511.00","0.04K","-8.75%"
"09/13/2022","560.00","550.00","567.00","548.00","0.19K","0.92%"
"09/12/2022","554.90","514.70","554.90","511.00","0.08K","9.02%"
"09/09/2022","509.00","511.90","519.90","504.70","0.05K","-0.86%"
